address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),is_successful
"86, 5th Main Road, Arekere MICO Layout 2nd stage, Bannerghatta Road, Bangalore",Bikaneri Sweets,Yes,No,3.4,19,Bannerghatta Road,Sweet Shop,,"Mithai, Street Food",250.0,Desserts,Bannerghatta Road,0
"7, Shop 4, Om Sai Kuteer, 4th Main, BEML layout, Thubarahalli Brookefield, Bangalore",Cocoa Bakes,No,No,3.7,0,Brookefield,Bakery,,"Bakery, Desserts",300.0,Delivery,Marathahalli,0
"139, Jyoti Nivas College Road, Ground Floor, Terra Tree Service Apartments, 1st Cross, Koramangala 5th Block, Bangalore",Berry'd Alive,Yes,No,4.3,1899,Koramangala 5th Block,Dessert Parlor,"Brownie, Apple Pie, Blackberry Cheesecake, Chocolate Icecreams, Hot Chocolate, Caramel Chocolate, Peach Parfait",Desserts,400.0,Delivery,Jayanagar,1
"1690,3rd Main Road, Nagappa Block, Srirampuram, Rajajinagar, Bangalore",Sri Guru Sagar Fast Food,No,No,3.7,0,Rajajinagar,Quick Bites,,"South Indian, Chinese, North Indian",250.0,Dine-out,Rajajinagar,0
"1070, Ramkrishana Arcade, 80 Feet Road, Kumaraswamy Layout, Bangalore",AAlvina Restaurant,No,No,3.7,0,Kumaraswamy Layout,Quick Bites,,"North Indian, South Indian, Chinese",400.0,Delivery,Residency Road,0
"29, 7th Cross Road, Bhavani Nagar, Suddagunte Palya, BTM, Bangalore",Mycakeshop,Yes,No,3.7,0,BTM,Bakery,,"Bakery, Desserts",300.0,Delivery,BTM,0
"6, Garuda Mall Food Court, Magrath Road, Brigade Road",Yomama!!,No,No,3.6,8,Brigade Road,Quick Bites,,"Continental, Burger, Cafe, Steak",800.0,Cafes,Lavelle Road,0
"Conrad Bengaluru, Kensington Road, Ulsoor, Bangalore",The Lobby Brew - Conrad Bengaluru,No,Yes,3.8,25,Ulsoor,Cafe,,"Cafe, North Indian, Fast Food",2200.0,Dine-out,Residency Road,0
"337, 1st B Main Road, Koramangala 7th Block, Bangalore",Nutri Rich,Yes,No,3.8,53,Koramangala 7th Block,Quick Bites,"Pizza, Spinach Curry, Salad",Healthy Food,350.0,Delivery,Koramangala 7th Block,1
"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",99 Pancakes,Yes,No,4.5,342,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes","Desserts, Cafe",300.0,Desserts,Koramangala 4th Block,1
"St Germain School Building, Promanade Road, Near Coles Park, Frazer Town, Bangalore",Raidan Restaurant,No,No,3.9,169,Frazer Town,Casual Dining,"Shawarma, Al Faham Chicken","Arabian, Chinese, Fast Food",600.0,Dine-out,Church Street,1
"462, 1st Floor, 17th C Main Road, 2nd Cross, KHB Colony, Koramangala 5th Block, Bangalore",Naati Manae,Yes,Yes,3.9,484,Koramangala 5th Block,Casual Dining,"Chicken Chettinad, Donne Biryani, Chicken Guntur, Veg Thali, Gobi Tikka, Mutton Chops, Chicken Curry","North Indian, South Indian, Chinese, Biryani",700.0,Dine-out,Koramangala 7th Block,1
"30,1st Cross, Sampige Road, Malleshwaram, Bangalore",Hatch,Yes,Yes,4.2,470,Malleshwaram,"Casual Dining, Bar","Cocktails, Appam, Beer, Murgh Ghee Roast, Mocktails, Pizza, Cheese Balls","North Indian, Mangalorean, Seafood",1200.0,Delivery,Rajajinagar,1
"5, 1st Floor, Mallariah Complex, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Pramukh Family Restaurant,No,No,3.9,111,Basavanagudi,Casual Dining,"Murgh Ghee Roast, Malai Kofta, Butter Chicken, Donne Biryani, Cocktails, Palak Rice, Masala Peanuts","North Indian, Chinese, Mughlai",700.0,Dine-out,Basavanagudi,1
"159, 2nd Cross Road, Koramangala 7th Block, Bangalore",Hotel Food Lands,Yes,No,3.8,57,Koramangala 7th Block,Casual Dining,"Sea Food, Biryani, Anjal Tava Fry","Seafood, Mangalorean",700.0,Delivery,BTM,1
"2, Arekempenahalli, Near Brand Factory Wilson Garden, Wilson Garden, Bangalore",Hotel Empark,Yes,No,3.4,16,Wilson Garden,Casual Dining,,"Chinese, North Indian, Arabian",800.0,Dine-out,Koramangala 7th Block,0
"19th Cross, 7th Main, Near Alliance University, NS Palya, 2nd Stage, BTM, Bangalore",Bathinda Tandoor,Yes,No,3.7,0,BTM,Quick Bites,,North Indian,300.0,Dine-out,Bannerghatta Road,0
"Nallurahalli Main Road Opposite to davegiri appartment Siddapura, Whitefield, Bangalore",Lila Kitchen,Yes,No,2.9,8,Whitefield,Delivery,,North Indian,500.0,Delivery,Brookefield,0
"67, Ground Floor, 3rd E Main Road, 15th Cross Road, 3rd Phase, JP Nagar, Bangalore",Nourich,Yes,Yes,3.7,0,JP Nagar,Casual Dining,"Soba Noodles, Pad Thai Noodle, Pickled Beetroot, Chicken Sandwich","Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",800.0,Dine-out,JP Nagar,0
"122, KHB Colony, Koramangala 5th Block, Bangalore",Kullukki,Yes,No,3.5,9,Koramangala 5th Block,Quick Bites,,"Juices, Beverages, Fast Food",400.0,Delivery,Jayanagar,0
"186, Sri Sai Mansion, Green Glen Layout",Punjabi,No,No,3.7,0,Bellandur,Quick Bites,,"North Indian, Chinese",500.0,Delivery,Bellandur,0
"382, Jumma Masjid Road, OPH Road, Shivajinagar, Bangalore",Hotel Ashoka,No,No,3.7,11,Shivajinagar,Quick Bites,,South Indian,200.0,Dine-out,Lavelle Road,0
"57, Samsung Opera House, Junction of Brigade Road & Residency Road, Brigade Road, Bangalore",The Flying Squirrel,No,No,4.0,30,Brigade Road,Cafe,,Cafe,450.0,Cafes,Residency Road,0
"17 B Main Road, KHB Colony, Koramangala 5th Block, Bangalore",The Yellow Tuk-Tuk Cafe,Yes,No,3.6,16,Koramangala 5th Block,Cafe,,"Cafe, Continental, Beverages",500.0,Dine-out,Koramangala 4th Block,0
"34/1-2, Meanee Avenue Tank Road, Sivanchetty Road, Ulsoor, Bangalore",Skoolroom,Yes,No,4.3,569,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700.0,Dine-out,Church Street,1
"18/1, Cambridge Road, Cambridge Layout, Ulsoor, Bangalore",Copacabana Pub,No,No,3.7,0,Ulsoor,"Pub, Casual Dining",,"Mexican, North Indian, Continental",1500.0,Delivery,Indiranagar,0
"40/2, Lavelle Road, Bangalore",The Rice Bowl,Yes,Yes,4.3,500,Lavelle Road,"Casual Dining, Bar","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken","Chinese, Momos",1300.0,Delivery,Frazer Town,1
"76, GT Road, Majestic, Bangalore",Garden City Mobile Biryani,No,No,3.7,0,West Bangalore,Food Truck,,Biryani,200.0,Dine-out,Rajajinagar,0
"3rd Floor, Virginia Mall, Varthur Main Road, Whitefield, Bangalore",Toasty's,No,No,3.7,0,Whitefield,Food Court,,Fast Food,500.0,Delivery,Whitefield,0
"3, Opposite Forum Mall, Kauvery Layout, 1st Cross, Tavarekere Main Road, BTM, Bangalore",Ammus Hot N Cool,Yes,No,3.4,84,BTM,Quick Bites,,"North Indian, Fast Food, Kebab, Rolls, Beverages",300.0,Delivery,Koramangala 7th Block,0
"29, Ground Floor, Whitehouse, Opposite SBI Bank, Street. Marks Road, Bangalore",Halli Oota,No,No,3.3,6,St. Marks Road,Casual Dining,,"South Indian, Biryani",450.0,Delivery,Residency Road,0
"Near Shell Petrol Station, Kaggadasapura, Bangalore",Sunshadow.in,No,No,3.5,10,Kaggadasapura,Delivery,,"North Indian, Chinese",400.0,Delivery,Marathahalli,0
"S3, S4, Silver Springs Layout, Spice Garden Compound, Marathahalli, Bangalore",Biggies Burger 'n' More,Yes,No,4.1,85,Marathahalli,Cafe,"Burgers, Fries, Coffee, Mojito, Prawn, American Cheese Burger, Mocktails","Cafe, Burger, Fast Food",400.0,Cafes,Marathahalli,1
"15/2, Pothallappa Garden, 1st Cross Road, Ayappa Garden, Adugodi, Koramangala 7th Block, Bangalore",Bhandary's Kitchen,No,No,3.6,16,Koramangala 7th Block,Delivery,,North Indian,300.0,Delivery,MG Road,0
"122, KHB Colony, Koramangala 5th Block, Bangalore",The Underground Gastropub,No,No,3.0,39,Koramangala 5th Block,Pub,,Finger Food,1000.0,Dine-out,Koramangala 6th Block,0
"366, 1st Main, 7th Cross, Koramangala 7th Block, Bangalore",Sweet Chariot,Yes,No,4.0,186,Koramangala 7th Block,"Bakery, Dessert Parlor","Donut, Chocolate Mousse, Chocolate Cake, Cheesecake, Chicken Wings","Bakery, Fast Food",500.0,Delivery,Jayanagar,1
"546, Lal Bagh Main Road, Block 6, Sampangi Rama Nagara, Richmond Road, Bangalore",New Udupi Upahar,No,No,3.0,7,Richmond Road,Quick Bites,,"South Indian, North Indian, Chinese",300.0,Dine-out,MG Road,0
"1771, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",Ifruit Ice Cream,Yes,No,3.3,4,Kumaraswamy Layout,Dessert Parlor,,"Desserts, Ice Cream",150.0,Delivery,Banashankari,0
"Novotel Bengaluru, Opposite RMZ Ecospace Business Park, Marathahalli - Sarjapur Outer Ring Road, Marathahalli, Bangalore",Delice - Novotel,No,No,3.8,33,Marathahalli,"Dessert Parlor, Bakery",,"Desserts, Bakery",800.0,Delivery,Sarjapur Road,0
"56, Survey No. 66, Opposite Wipro Gate 5, Phase 1, Electronic City, Bangalore",KFC,Yes,No,3.9,682,Electronic City,Quick Bites,"Burgers, Fries, Potato Krisper, Chicken Bucket, Chicken Popcorn, Hot Wings, Rice Bowl","Burger, Fast Food",450.0,Delivery,Electronic City,1
"389/2, PN Plaza, Munnekola Road, RJS Road, Marathahalli, Bangalore",Madurai Idly Shop,No,No,2.9,69,Marathahalli,Quick Bites,"Idli, Vada, Pongal, Onion Rava Dosa",South Indian,200.0,Dine-out,Marathahalli,0
"The Ritz-Carlton, 99, Residency Road, Bangalore",The Ritz-Carlton Bar - The Ritz-Carlton,No,No,4.0,93,Residency Road,Lounge,Decor,Finger Food,2000.0,Dine-out,Brigade Road,1
"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",55 Wall Street,No,Yes,3.9,1791,JP Nagar,Bar,"Cocktails, Beer, Bloody Mary, Pasta, Pizza, Burgers, Nachos","Finger Food, North Indian, Chinese",1300.0,Dine-out,Jayanagar,1
"4050, Ground Floor, 19th Main, HAL 2nd Stage, Indiranagar, Bangalore",Buntastic,Yes,No,3.7,0,Indiranagar,"Takeaway, Delivery",,"Burger, Juices",200.0,Delivery,Koramangala 6th Block,0
"199, Kuralagam Panchayat Road, Prashanth Layout, Whitefield, Bangalore",Windy- Taste Of Home,Yes,Yes,3.6,109,Whitefield,Quick Bites,"Thali, Biryani, Aloo Paratha",North Indian,300.0,Delivery,Brookefield,0
"OYO Flagship, 12476 IRA Residency, 9/13 HSR, Outer Ring Road, Iblur Village, Bellandur, Bangalore",Wimpie Cafe & Restaurant,Yes,No,3.7,0,Bellandur,Casual Dining,,"North Indian, Mughlai, Biryani",600.0,Dine-out,HSR,0
"Level 2, Concorde Block, UB City, Vittal Malya Road, Lavelle Road, Bangalore",BBQ'D - Global Grill & Brewery,No,No,4.3,471,Lavelle Road,"Casual Dining, Microbrewery","Butter Chicken, Chaat, Dahipuri, Beer, Jalebi, Pizza, Momos","BBQ, North Indian",1500.0,Buffet,Brigade Road,1
"Plot 208, 11th Cross, 8th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",Johny's Kitchen,Yes,No,4.1,59,Jeevan Bhima Nagar,Quick Bites,"Chole, Veg Thali","North Indian, South Indian",300.0,Dine-out,Indiranagar,1
"32 80ft Road, 12th Main Junction, Indiranagar, Bangalore",Fog City Cafe,Yes,No,3.7,0,Indiranagar,Cafe,,"Italian, Fast Food, Burger",500.0,Delivery,Old Airport Road,0
"778/B, 22nd Main, 22nd Cross, Sector 2, HSR Lyout, Bangalore",Tasty Noodle,Yes,No,3.4,5,HSR,Quick Bites,,"Chinese, Seafood",400.0,Delivery,BTM,0
"Adugodi Main Road, Koramangala 8th Block, Bangalore",Rolling Station,No,No,3.7,0,Koramangala 8th Block,Dessert Parlor,,"Desserts, Ice Cream, Beverages",400.0,Desserts,Koramangala 4th Block,0
"Shop 72, 16th Main, Outer Ring Road, 2nd Stage, BTM, Bangalore",Akshaya Grand,Yes,No,3.4,29,BTM,Casual Dining,,North Indian,750.0,Delivery,Koramangala 5th Block,0
"38, Opposite to SBI Bank, Near Village Hyper Market, Akshay Nagar, Bannerghatta Road, Bangalore",TFI - The Fresh Ice Cream,Yes,No,3.2,41,Bannerghatta Road,Dessert Parlor,,"Ice Cream, Beverages",400.0,Desserts,Bannerghatta Road,0
"41, Palani Mudaliar Street, Halasuru, Ulsoor, Bangalore",Amritsari Kulcha Bite,Yes,No,3.9,99,Ulsoor,Quick Bites,"Lassi, Amritsari Kulcha, Chole",North Indian,150.0,Dine-out,Indiranagar,1
"123, Brigade Road, Bangalore",Hotel Ramprasad,Yes,No,4.2,93,Brigade Road,Quick Bites,"Filter Coffee, Kesari Bath, Curd Rice, Idli Vada, Crispy Masala Dosa, Masala Tea, Thick Coconut Chutney","South Indian, Chinese",300.0,Delivery,Church Street,1
"2, 4th Cross, 6th Main, HAL 2nd Stage, Indiranagar, Bangalore",Shree Mithai,No,No,3.5,11,Indiranagar,Quick Bites,,"Desserts, Street Food, Mithai",150.0,Desserts,Indiranagar,0
"1, 13th Cross Road, Maruti Nagar, 1st Stage, BTM, Bangalore",Borah's Kitchen,Yes,No,3.3,12,BTM,Quick Bites,,"North Indian, Chinese",250.0,Delivery,JP Nagar,0
"88/1, Opposite to Reliance Fresh, Coles Road, Frazer Town, Bangalore",Cream Chemistry,Yes,No,3.9,150,Frazer Town,Dessert Parlor,"Rolls, Ice Cream Roll","Ice Cream, Desserts",500.0,Delivery,Residency Road,1
"353A, B Block, ITPL Main Road, Kundanahalli, Marathahalli, Bangalore",Chaai Resto,Yes,No,3.4,5,Marathahalli,"Beverage Shop, Quick Bites",,"Tea, Beverages, Fast Food",250.0,Delivery,Marathahalli,0
"51, Rama Temple Road, Near VRR Home, Chandra Layout, Ejipura, Bangalore",C Kosila Kitchen,Yes,No,3.1,8,Ejipura,Quick Bites,,North Indian,300.0,Dine-out,Koramangala 5th Block,0
"1029, 4th Cross Road, BEL Layout, 6th Block, Vidyaranyapura, New BEL Road, Bangalore",S-Cafe,No,No,3.7,0,New BEL Road,Quick Bites,,South Indian,150.0,Dine-out,New BEL Road,0
"284, 1St Main, 1St Cross, Munnekollala Last Bus Stop, Near Andhra Bank, Bangalore",Sangam Sweets,Yes,No,3.1,5,Marathahalli,Sweet Shop,,"Mithai, Street Food",200.0,Dine-out,Marathahalli,0
"5, 6/1, Opposite, Indicash ATM, Sri Ram Temple Road, Ejipura, Bangalore",Assi Tussi Lassi,Yes,No,3.6,26,Ejipura,Beverage Shop,,"Beverages, Fast Food, Ice Cream",200.0,Desserts,Koramangala 6th Block,0
"17/3, Ground Floor, Cambridge Road, Opposite FAPS, Ulsoor, Bangalore",The Cake House,Yes,No,3.7,29,Ulsoor,Bakery,,"Bakery, Desserts",300.0,Desserts,Brigade Road,0
"Ground Floor-Lobby Area, Brigade IRV Centre, Nallurhalli Road, Whitefield, Bangalore",nu.tree,Yes,No,4.3,170,Whitefield,"Quick Bites, Beverage Shop","Healthy Breakfast, Kadhi, Sprout Salad, Rajma Chawal, Salads, Onion Paratha, Dal Makhani","North Indian, Healthy Food, Beverages",400.0,Delivery,Brookefield,1
"9/91, 1st Floor, Varthur Main Road, Thubarahalli, Whitefield, Banglore",BIB-Breakfast in the Box,Yes,No,3.7,61,Whitefield,Delivery,"French Fries, Burgers, English Breakfast, Pancakes, Corn Sandwich, Chicken Burger, Bacon Fry","American, Sandwich",600.0,Delivery,Brookefield,0
"Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Momo Blues,Yes,No,3.7,0,Koramangala 5th Block,Quick Bites,,"Chinese, Momos, Nepalese, Tibetan",200.0,Delivery,Koramangala 5th Block,0
"70, Near Accenture Building, Cunningham Road, Bangalore",Fat Buddha,Yes,Yes,4.0,457,Cunningham Road,Casual Dining,"Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food","Chinese, Thai",1000.0,Delivery,Lavelle Road,1
"112, Ground Floor, Ramaiah Layout, 3rd Cross, Kammanahalli, Bangalore",Sotang's,No,No,3.3,9,Kammanahalli,Quick Bites,,"North Indian, Chinese",250.0,Dine-out,Kalyan Nagar,0
"1-M, 404, Masand Square, Opposite Sobha Supermarket, Hennur Main Road, HRBR Layout, Kalyan Nagar, Bangalore",Chulha Chauki Da Dhaba,Yes,No,4.1,1208,Kalyan Nagar,Casual Dining,"Vegetable Biryani, Meetha Paan, Chana Masala, Sweet Lassi, Sweet Paan, Butter Chicken, Tandoori Chicken",North Indian,800.0,Delivery,Kammanahalli,1
"115, First Floor, Opposite Raheja Arcade, Koramangala 7th Block, Bangalore",Rajdhani Thali Restaurant,Yes,Yes,4.0,797,Koramangala 7th Block,Casual Dining,"Gatte Ki Subzi, Rabri, Dhokla, Rajasthani Thali, Jalebi, Daal Baati Churma, Aamras",North Indian,900.0,Dine-out,Koramangala 6th Block,1
"66, 35th Main, 100ft Ring Road, Near Silk Board BTM 2nd Stage, Bangalore",Bengali Fun Foods,Yes,Yes,3.9,67,BTM,Casual Dining,,"Bengali, North Indian",600.0,Dine-out,Koramangala 5th Block,1
"35, 1st Cross, Outer Ring Road, Bellandur, Bangalore",Asia In A Box,Yes,No,3.1,10,Bellandur,Casual Dining,,"Thai, Asian",550.0,Delivery,Sarjapur Road,0
"28, 4th B Cross, Koramangala 5th Block, Bangalore",Tella Tales,Yes,No,4.2,413,Koramangala 5th Block,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages",700.0,Cafes,BTM,1
"IGI Layout, SK Garden, Benson Town, Frazer Town, Bangalore",Ice box,No,No,3.7,0,Frazer Town,Delivery,,"Ice Cream, Beverages, Fast Food",200.0,Delivery,Frazer Town,0
"273, 12th Cross, Opposite BTS Bus Stop, Wilson Garden, Bangalore",Karavali Kolimane,Yes,No,3.7,28,Wilson Garden,Quick Bites,,"Mangalorean, Chinese, North Indian",350.0,Delivery,Residency Road,0
"Philomena Hospital Road, Dada Mastan Layout, Vyalikaval HBCS Layout, Nagawara, Bangalore",Kijiji - Chal Yaha Khate Hai,Yes,No,3.7,306,Nagawara,Quick Bites,"Paratha, Roti, Curd Rice, Thali, Tea, Dal Bati, Gajar Halwa","North Indian, Gujarati, Street Food",400.0,Delivery,Kammanahalli,0
"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",3 Spice,Yes,No,3.9,157,Wilson Garden,Casual Dining,"Manchow Soup, Shawarma, Momos, Hyderabadi Biryani, Vegetarian, Noodles, Dragon Chicken","North Indian, Chinese",450.0,Dine-out,Residency Road,1
"2011,1st Floor, HAL 2nd Stage,100 Feet Road, Indiranagar, Bangalore",Urban Tamaasha,Yes,Yes,4.1,886,Indiranagar,Casual Dining,"Virgin Mojito, Pasta Alfredo, Mocktails, Mutton Boti Kebab, Diwani Handi, Chelo Kebab, Dragon Rolls","North Indian, Chinese, Continental",1200.0,Dine-out,Old Airport Road,1
"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",Aubree,Yes,No,3.2,6,Shivajinagar,"Cafe, Bakery",,"Cafe, Bakery",400.0,Delivery,Lavelle Road,0
"24/48, MM Road, Benzon Town, Frazer Town, Bangalore",Delhi Food Factory,Yes,No,3.7,0,Frazer Town,Delivery,,North Indian,500.0,Delivery,Brigade Road,0
"76, LIC Bhimajyothi Colony, Basaveshwara Nagar, Bangalore",Chikpet Donne Biriyani Corner,Yes,No,3.2,7,Basaveshwara Nagar,Quick Bites,,"Biryani, Kebab",400.0,Delivery,Rajajinagar,0
"Opposite Bangalore Central Mall, 9th Block, Jayanagar, Bangalore",Upahara Darshini,Yes,No,4.0,166,Jayanagar,Quick Bites,"Vada, Coffee, Masala Dosa, Gulab Jamun, Roti, Idli, Tomato Soup","South Indian, North Indian, Chinese",400.0,Delivery,JP Nagar,1
"150, Wheelers Road, Sindh Colony, Frazer Town, Bangalore",South Inn,Yes,No,3.1,24,Frazer Town,Quick Bites,,South Indian,150.0,Dine-out,Frazer Town,0
"16.8th Cross, H Siddaiha Road, Sudamnagar, Shanti Nagar, Bangalore",Adda,No,No,3.3,5,Shanti Nagar,Quick Bites,,South Indian,300.0,Dine-out,Residency Road,0
"Ground Floor, Sky Walk Building, Assaye Road, Ulsoor, Bangalore",NH7 Refuel,Yes,No,3.5,17,Ulsoor,Quick Bites,,"North Indian, Chinese, Biryani",400.0,Delivery,Brigade Road,0
"3,11th Cross, Maruthi Nagar, 1st Stage, BTM, Bangalore",Royal's Biryani,Yes,No,3.7,0,BTM,Quick Bites,,Biryani,300.0,Delivery,BTM,0
"95/2 Green Glen Layout, Sobha Lakeview Clubhouse, Bellandur, Bangalore",Teekhi Mirrchi,No,No,3.7,0,Bellandur,"Takeaway, Delivery",,"Chinese, North Indian",700.0,Delivery,Sarjapur Road,0
"4th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Rock On Rolls & Parathas,No,No,3.7,0,Bannerghatta Road,Food Court,,Rolls,250.0,Desserts,Bannerghatta Road,0
"Indira Gandhi Housing Colony, Arekere, Bannerghatta Road, Bengaluru",Lassi Cafe,Yes,No,3.4,16,Bannerghatta Road,Beverage Shop,,"Beverages, Ice Cream",150.0,Delivery,JP Nagar,0
"Embassy Tech Village, Devarabisanahalli, Bellandur, Bangalore",Chai Point,Yes,No,3.7,0,Bellandur,"Beverage Shop, Quick Bites",,"Tea, Beverages, Fast Food",250.0,Delivery,Bellandur,0
"Shop 50, Koramangala 5th Block, Bangalore",Smoke de Burger,Yes,No,3.6,36,Koramangala 5th Block,Quick Bites,,Fast Food,300.0,Delivery,BTM,0
"11, Eat Street, 80 Feet Road, Opposite Indian Oil Petrol Station, Koramangala 6th Block, Bangalore",Khiche Chale Aao,Yes,No,3.7,0,Koramangala 6th Block,Quick Bites,,"North Indian, Fast Food",300.0,Dine-out,Koramangala 7th Block,0
"Kariyammana Agrahara, kadubesenahalli, Bellandur, Bangalore",Lassi Corner,No,No,3.4,12,Bellandur,Beverage Shop,,"Beverages, Desserts",150.0,Desserts,Sarjapur Road,0
"Sterling Mac Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore",CloudNYN - Sterling Mac Hotel,No,No,4.0,417,Old Airport Road,Bar,"Pizza, Cocktails, Cheese Balls",Finger Food,1000.0,Dine-out,Old Airport Road,1
"Serial 18/1C1AA1F, Site 3, Ground, First and Second Floors, Doddakanneli, Sarjapur Main Road, Sarjapur Road, Bangalore",Hashery Family Restaurant,Yes,No,3.3,11,Sarjapur Road,Casual Dining,,"North Indian, South Indian, Arabian",600.0,Dine-out,Sarjapur Road,0
"1A, Church Street, Bangalore",Wolf'ish,Yes,No,4.1,460,Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700.0,Cafes,Brigade Road,1
"45, Kasthuri Nivasa, 2nd Floor, 19th Main, 2nd Stage, BTM, Bangalore",Cucumber Town,Yes,No,4.2,310,BTM,Delivery,"Appam, Chicken Biryani, Kizhi Biryani, Kuluki Sarbat, Panneer Butter Masala, Meen Pollichathu, Vellarikka Pattanam","Kerala, North Indian",600.0,Delivery,Jayanagar,1
"13, KH Road, Shanti Nagar, Bangalore",Nagashree's,No,No,2.9,46,Shanti Nagar,Casual Dining,"Biryani, Mutton Chops","South Indian, North Indian, Fast Food",550.0,Delivery,Brigade Road,0
"First Floor, Apple City, Kadugodi Hoskote, Whitefield, Bangalore",Faasos,Yes,No,4.0,184,Whitefield,Quick Bites,"Rolls, Cheesy Chicken, Chocolava Cake, Paneer Wrap","North Indian, Biryani, Fast Food",500.0,Dine-out,Whitefield,1
"688, 2nd,Floor, 15th cross, 100ft Ring Road, Above Lathangi Ford Showroom, JP Nagar, Bangalore",Watson's,Yes,Yes,4.0,1016,JP Nagar,"Pub, Bar","Beer, Pizza, Veg Starter, Martini, Mojito, Cocktails, Crispy Corn","Finger Food, Chinese, Continental",1300.0,Drinks & nightlife,JP Nagar,1
"267, Amarjyothi Layout, Near DELL, Domlur, Bangalore",Pot Biryani,Yes,No,3.9,466,Domlur,Casual Dining,"Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton","North Indian, Chinese, Biryani, Seafood",600.0,Delivery,Old Airport Road,1
"1/4, Ground Floor, Lido Mall, Swami Vivekananda Road, Ulsoor, Bangalore",Barbeque Nation,No,Yes,4.4,1065,Ulsoor,Casual Dining,"Mutton Seekh, Paan Kulfi, Biryani, Fish, Crispy Corn, Salads, Panipuri","North Indian, European, Mediterranean, BBQ, Kebab",1600.0,Dine-out,Church Street,1
"25/1, Near Sampoorna, 24th Main, 5th Phase, JP Nagar, Bangalore",The Coastal Crew by Fujian on 24th,Yes,Yes,4.2,1033,JP Nagar,"Casual Dining, Bar","Sea Food, Mocktails, Noodles, Murgh Ghee Roast, Cocktails, Tom Yum Soup, Spring Roll","Chinese, Thai, Seafood, North Indian, Momos",1100.0,Delivery,Jayanagar,1
"122/A KHB Colony, Koramangala 5th Block, Bangalore",The Milkshake Theory,Yes,No,4.0,47,Koramangala 5th Block,Beverage Shop,,"Beverages, Fast Food",400.0,Delivery,BTM,0
"136, Rooftop, Above Gold's Gym, 1st Cross, Koramangala 5th Block, Bangalore",Om Made Cafe,No,No,4.1,2732,Koramangala 5th Block,Cafe,"Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","Cafe, Continental, European, Juices",1300.0,Dine-out,Koramangala 4th Block,1
"17/1A, Nirma Shopping Complex, Munnekollala, Marathahalli, Bangalore",New Aroma,No,No,3.3,4,Marathahalli,Quick Bites,,Chinese,250.0,Dine-out,Marathahalli,0
"113, 1st C Main, Prestige Pinnacle, Koramangala 7th Block, Bangalore",Smoor,Yes,No,4.2,100,Koramangala 7th Block,"Dessert Parlor, Cafe","Hot Chocolate, Sandwich, Sushi, Red Velvet, Pumpkin Ravioli, Cajun Fries, Gooey Chocolate Cake","Desserts, Cafe, Beverages",900.0,Cafes,Koramangala 6th Block,1
"143, 19th Main Road, 1st Block, Opposite Canara Bank, Near Ananya Hospital, Nagpura, Rajajinagar, Bangalore",Food & Friends,Yes,No,2.9,88,Rajajinagar,Quick Bites,,"Fast Food, Street Food",200.0,Delivery,Malleshwaram,0
"470, 80 Feet Road, Koramangala 6th Block, Bangalore",The Old Fashioned Bar,No,Yes,4.5,577,Koramangala 6th Block,Bar,"Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka","Finger Food, North Indian, Continental",1000.0,Pubs and bars,Koramangala 5th Block,1
"22/23 B, Mangammanapalaya Main Road, HSR Layout Bangalore",Hotel Dine City,Yes,No,3.5,83,HSR,Casual Dining,,"North Indian, South Indian, Chinese, Arabian",800.0,Delivery,HSR,0
"RMZ Ecoworld, Food Court, Bellandur, Bangalore",Gooey & Fluffy,No,No,3.7,0,Bellandur,Delivery,,"Desserts, Bakery",200.0,Desserts,Bellandur,0
